FIELD LABEL | API NAME
"Created By"|"Created_By"
"Description"|"Description"
"Modified By"|"Modified_By"
"Related To"|"What_Id"
"Subject"|"Subject"
"Contact ID"|"Contact_ID"
"Contact Name"|"Contact_Name"
"Currency"|"Currency"
"Exchange Rate"|"Exchange_Rate"
"TR Code"|"Name"
"TR Code Owner"|"Owner"
"Accessories & Additional Charges Name"|"Name"
"Accessories Owner"|"Owner"
"Accessory Description"|"Accessory_Description"
"Accessory Discount"|"Accessory_Discount"
"Accessory Discount Description"|"Accessory_Discount_Description"
"Accessory List Price"|"Accessory_List_Price"
"Accessory Price Total"|"Accessory_Price_Total"
"Accessory Status"|"Accessory_Status"
"Accessory Type"|"Accessory_Type"
"Currency"|"Currency"
"Deal"|"Deal"
"Exchange Rate"|"Exchange_Rate"
"Type"|"Type"
"Accessories Database Image"|"Record_Image"
"Accessories Database Name"|"Name"
"Accessories Database Owner"|"Owner"
"Accessories/Add. Charge Description"|"DESCRIPTION"
"Brand"|"Item_Name"
"Charge Name"|"Charge_Name"
"Cost to MADE"|"Cost_to_MADE"
"Currency"|"Currency"
"Full Name"|"Full_Name"
"Markup %"|"Markup"
"Quantity"|"Quantity"
"Record Type"|"Record_Type"
"Retail Price"|"Price"
"Variation Colour"|"Variation_Colour"
"Variation Name"|"Variation_Name"
"Vendor"|"Vendor"
"Action Name"|"Short_Description"
"Action Notes"|"Action_Notes"
"Alteration Owner"|"Owner"
"Alteration Prep"|"Alteration_Prep"
"Alteration QC Type"|"Alteration_QC_Type"
"Clients Used"|"Clients_Used"
"Cost"|"Cost"
"CustomModule2 Name"|"Name"
"Garment Location/Alt. Type"|"Garment_Location"
"Garment Type"|"Garment"
"QC Requirements"|"QC_Requirements"
"Amount Remaining"|"Amount_Remaining1"
"Amount Used"|"Amount_Used"
"Clients Name"|"Clients_Name"
"Credit Type"|"Reason"
"Currency"|"Currency"
"Exchange Rate"|"Exchange_Rate"
"Expiry Date"|"Expiry_Date"
"Gift Card/Credit Amount"|"Gift_Card_Amount"
"Gift Card/Credit Title"|"Name"
"Gift Cards Owner"|"Owner"
"Purchaser/Provider"|"Purchaser_Provider"
"Acq. Cost"|"Acq_Cost"
"Acquisition Cost"|"Acquisition_Cost"
"Acquisition Target"|"Acquisition_Target"
"Activation Cost"|"Activation_Cost"
"Activation Target"|"Activation_Target"
"Ad Spend/Sponsor"|"Ad_Spend_Sponsor"
"Business Persona Activated"|"Business_Persona_Aquired"
"Category"|"Category"
"Clicks to Website"|"Clicks_to_Website"
"Conversion Activity"|"Conversion_Activity1"
"Currency"|"Currency"
"Design & Content"|"Design_Content"
"Discounts/Comped"|"Discounts_Comped"
"Elapsed Time Since Launch"|"Elapsed_Time_Since_Launch"
"Emails"|"Emails1"
"Exchange Rate"|"Exchange_Rate"
"Expected Conversion Time Frame"|"Time_Frame"
"Exposure/Reach"|"Exposure_Reach"
"Launch Date"|"Launch_Date"
"Lead Quality"|"Lead_Quality"
"Leads Acquired"|"Leads_Acquired"
"Marketing Owner"|"Owner"
"Marketing Type"|"Marketing_Type"
"Number Deals Closed"|"Number_Deals_Closed"
"Number Deals Qualified."|"Number_Deals_Qualified1"
"Phone Calls"|"Phone_Calls"
"Pipeline Conversion Sales/Deal"|"Pipeline_Conversion"
"Planning"|"Planning"
"Sales Conversion"|"Sales_Conversion"
"Specific Campaign/Event"|"Name"
"Team Members Hrs x $20"|"Team_Memebers_Hrs_x_20"
"Time at Event"|"Time_at_Event"
"Time Executing"|"Time_Executing"
"Time Planning"|"Time_Planning"
"Tool & Software Costs"|"Tool_Software_Costs"
"Total $ Closed"|"Total_Closed"
"Total $ Deal Pipeline"|"Total_Deal_Pipeline"
"Total Cost"|"Total_Cost"
"Total Number of Deals"|"Total_Number_of_Deals"
"Total Time Investment in Hours"|"Total_Time_Investment_in_Hours"
"Avg. Garment Cost"|"Avg_Garment_Cost"
"Created By"|"Created_By"
"Currency"|"Currency"
"Delivery Date"|"Expected_Delivery"
"DHL Duties"|"DHL_Duties"
"DHL Invoice Code"|"DHL_Invoice_Code"
"DHL Shipping Cost"|"DHL_Shipping_Cost"
"DHL Waybill Tracking Number"|"DHL_Number"
"Exchange"|"Exchange"
"Exchange Rate"|"Exchange_Rate"
"Expected Box Arrival Date"|"Expected_Box_Arrival_Date"
"In Box"|"In_Box"
"Modified By"|"Modified_By"
"No. of Garments"|"No_of_Garments"
"Production Costs ($)"|"Production_Costs"
"Production Costs (TB)"|"Production_Costs_TB"
"Shipping + Handling"|"Shipping_Handling"
"Shirt Box Name"|"Name"
"Shirt Box Owner"|"Owner"
"Show QC Section"|"Show_QC_Section"
"Staff Initials"|"Staff_Initials"
"Total Cost"|"Total_Cost"
"Zoho Update"|"Zoho_Update"
"Bicep Ease"|"Bicep_Ease"
"Chest Ease"|"Chest_Ease"
"Hips Ease"|"Hips_Ease"
"Stomach Ease"|"Stomach_Ease"
"Try-On Shirt - Ease Image"|"Record_Image"
"Try-On Shirt - Ease Name"|"Name"
"Try-On Shirt - Ease Owner"|"Owner"
"Wrist Ease"|"Wrist_Ease"
"Created By"|"Created_By"
"Currency"|"Currency"
"Data Inputted By"|"Measurements_Inputted_By"
"Exchange Rate"|"Exchange_Rate"
"Full Waist"|"Full_Waist"
"Inputs Verified By"|"Inputs_Verified_By"
"L. Sleeve"|"L_Sleeve"
"Length"|"Length_1"
"Modified By"|"Modified_By"
"R. Sleeve"|"R_Sleeve"
"Shoulder"|"Shoulder_1"
"Sleeve Cuff"|"Sleeve_Cuff"
"Try-On Jacket Model (Supplier)"|"Try_On_Jacket_Model_Supplier"
"Try-On Jacket Name"|"Name"
"Try-On Jacket Owner"|"Owner"
"Bottom"|"Bottom1"
"Created By"|"Created_By"
"Currency"|"Currency"
"Data Inputted By"|"Data_Inputted_By"
"Exchange Rate"|"Exchange_Rate"
"Inputs Verified By"|"Inputs_Verified_By"
"Knee"|"Knee1"
"Modified By"|"Modified_By"
"Rise"|"Rise1"
"Seat"|"Seat1"
"Thigh"|"Thigh1"
"Try-On Pant Model (Supplier)"|"Try_On_Pant_Model_Supplier"
"Try-On Pant Name"|"Name"
"Try-On Pant Owner"|"Owner"
"Unfinished Bottom"|"Unfinished_Bottom"
"Waist"|"Waist1"
"Back Length"|"Back_Length"
"Currency"|"Currency"
"Data Inputted By"|"Data_Inputted_By"
"Exchange Rate"|"Exchange_Rate"
"Inputs Verified By"|"Inputs_Verified_By"
"Try-On Vest Name"|"Name"
"Try-On Vest Owner"|"Owner"
"Vest Make"|"Vest_Make"
"Vest Waist"|"Vest_Waist"
"Contact"|"Customer_Name"
"Cost Covered by Client"|"Cost_Covered_by_Client"
"Cost Covered by MADE"|"Cost_Covered_by_MADE"
"Cost Covered by Supplier"|"Cost_Covered_by_Supplier"
"CSI Description"|"CSI_Description"
"CSI Record Name"|"Name"
"CSI Stage"|"Stage"
"Currency"|"Currency"
"Current Resolution"|"Current_Resolution"
"Custom Service Issues Owner"|"Owner"
"Discussed with Team"|"Discussed_with_Team"
"Exchange Rate"|"Exchange_Rate"
"Issue Category"|"Type_of_Issue"
"Issues Photos"|"Issues_Photos"
"Next Action(s)"|"Next_Action"
"Original Deal"|"Deal"
"Point(s) of Failure"|"Point_s_of_Failure"
"Possible Solutions"|"Suggestion_to_fix"
"Potential Deals Affected"|"Potential_Deals_Affected"
"Prevention for the Future"|"Result1"
"Responsibility"|"Fault"
"Result"|"Result"
"Total Cost."|"Total_Cost"
"When did the issue take place?"|"Timeline"
"Commission Rate"|"Commission_Rate"
"Created By"|"Created_By"
"Description"|"Description"
"Handler"|"Handler"
"Manufacturer"|"Manufacturer"
"Modified By"|"Modified_By"
"Product Active"|"Product_Active"
"Product Category"|"Product_Category"
"Product Code"|"Product_Code"
"Product Image"|"Record_Image"
"Product Name"|"Product_Name"
"Product Owner"|"Owner"
"Qty Ordered"|"Qty_Ordered"
"Quantity in Demand"|"Qty_in_Demand"
"Quantity in Stock"|"Qty_in_Stock"
"Reorder Level"|"Reorder_Level"
"Sales End Date"|"Sales_End_Date"
"Sales Start Date"|"Sales_Start_Date"
"Support End Date"|"Support_Expiry_Date"
"Support Start Date"|"Support_Start_Date"
"Tax"|"Tax"
"Taxable"|"Taxable"
"Unit Price"|"Unit_Price"
"Usage Unit"|"Usage_Unit"
"Vendor Name"|"Vendor_Name"
"Client Name"|"Name"
"Completed"|"Completed"
"Completed Date"|"Achieved_Date"
"Currency"|"Currency"
"Date of 2nd Follow-Up"|"Date_of_2nd_Follow_Up"
"Date of first follow-up"|"Date_of_first_follow_up"
"Exchange Rate"|"Exchange_Rate"
"Requested"|"Requested"
"Requested Date"|"Requested_Date"
"Reviews Owner"|"Owner"
"Created By"|"Created_By"
"Created Time"|"Created_Time"
"Currency"|"Currency"
"Deal Pipeline"|"Potential_Pipeline"
"End Date"|"End_Date"
"Exchange Rate"|"Exchange_Rate"
"Forecast Name"|"Forecast_Name"
"Forecast Owner"|"Owner"
"Last Computed Time"|"Last_Computed_Time"
"Modified By"|"Modified_By"
"Modified Time"|"Modified_Time"
"Month"|"Quarter"
"Parent Forecast"|"Parent_Forecast"
"Pipeline Count"|"Pipeline_Count"
"Pipeline excluding child"|"Pipeline_excluding_child"
"Start Date"|"Start_Date"
"Target"|"Quarterly_Quota"
"Target Achieved"|"Target_Achieved"
"Target Achieved Count"|"Target_Achieved_Count"
"Target achieved excluding child"|"Target_achieved_excluding_child"
"Target Achieved Percentage"|"Target_Achieved_Percentage"
"Target achieved percentage excluding child"|"Target_achieved_percentage_excluding_child"
"Target excluding child"|"Target_excluding_child"
"Year"|"Year"
"Appointment Day"|"Appointment_Day"
"Appointment Time"|"Appointment_Time"
"Assistant/Spouse Email"|"Assistant_Spouse_Email"
"Assistant/Spouse Name"|"Assistant_Spouse_Name"
"Assistant/Spouse Phone Number"|"Assistant_Spouse_Phone_Number"
"Average Time Spent (Minutes)"|"Average_Time_Spent_Minutes"
"Client Persona"|"Client_Persona1"
"Commuting From"|"Commuting_From"
"Commuting From Out of Town"|"Commuting_From_Out_of_Town"
"Company"|"Company"
"Contact Image"|"Record_Image"
"Contact Owner"|"Owner"
"Currency"|"Currency"
"Date Client Activated"|"Date_Client_Activated"
"Date of Birth"|"Date_of_Birth"
"Days Visited"|"Days_Visited"
"Delivery Address Notes"|"Delivery_Address_Notes"
"Drive URL"|"gdriveextension__Drive_URL"
"Email"|"Email"
"First Name"|"First_Name"
"First Page Visited"|"First_Visited_URL"
"First Visit"|"First_Visited_Time"
"Height"|"Height"
"Industry"|"Industry"
"Last Name"|"Last_Name"
"Mailing City"|"Mailing_City"
"Mailing Country"|"Mailing_Country"
"Mailing Postal Code"|"Mailing_Postal_Code"
"Mailing State"|"Mailing_State"
"Mailing Street"|"Mailing_Street"
"Mobile"|"Mobile"
"Most Recent Visit"|"Last_Visited_Time"
"Notable Injuries & Past Fit Issues"|"Notable_Injuries"
"Number Of Chats"|"Number_Of_Chats"
"Other City"|"Other_City"
"Other Postal Code"|"Other_Postal_Code"
"Other State"|"Other_State"
"Other Street"|"Other_Street"
"Phone"|"Phone"
"Preferred Comm. Contact"|"Preferred_Comm_Contact"
"Preferred Method of Contact"|"Preferred_Method_of_Contact1"
"Primary Contact"|"Primary_Contact"
"Reason Review not Requested"|"Reason_Review_not_Requested"
"Referred By"|"Referred_By1"
"Referrer"|"Referrer"
"Reporting To"|"Reporting_To"
"Review Attained"|"Review_Attained1"
"Sales/Promotion Notes"|"Sales_Promotion_Notes"
"Secondary Email"|"Secondary_Email"
"Shoe Size"|"Shoe_Size"
"Styling Notes"|"Styling_Notes"
"TR Code"|"TR_Code"
"Usage Pattern"|"Usage_Pattern"
"Visitor Score"|"Visitor_Score"
"Active CSI Record"|"Active_CSI_Record"
"Actual Days to Order Completion"|"Actual_Days_to_Order_Completion"
"Actual Final Fitting Date"|"Actual_Final_Fitting_Date"
"Actual First Fitting Date"|"Actual_First_Fitting_Date"
"Actual Order Completion Date"|"Actual_Order_Completion_Date"
"Actual Pickup Date (OPS)"|"Actual_Pickup_Date_OPS"
"Additional Discount(s)"|"Additional_Discount_s"
"Additional Items to Prep"|"Additional_Items_to_Prep"
"Alterations"|"Alterations"
"Alterations as % of Total"|"Alterations_as_of_Total"
"Amount"|"Amount"
"Campaign/Marketing Event"|"Campaign_Marketing_Event"
"City"|"City"
"Client Delivery Waiver"|"Client_Delivery_Waiver"
"Client Initials"|"Client_Initials"
"Client Persona"|"Client_Persona"
"Client Receiving Gift Card (Contact Module)"|"Client_Receiving_Gift_Card"
"Closing Date"|"Closing_Date"
"COGS"|"COGS"
"COGS as % of Total"|"COGS_as_of_Total"
"Commuting From"|"Commuting_From"
"Commuting From Out of Town"|"Commuting_From_Out_of_Town"
"Consult Date"|"Consult_Date"
"Consult Interest"|"Consult_Interest"
"Contact Method"|"Contact_Method"
"Contact Name"|"Contact_Name"
"CSI Follow Up Visit Date"|"CSI_Follow_Up_Visit_Date"
"CSI Initial Visit Date"|"CSI_Initial_Visit_Date"
"Date CSI Reported"|"Date_CSI_Reported"
"Date CSI Resolved"|"Date_CSI_Resolved"
"Date Dropped Off (OPS)"|"Date_Dropped_Off_OPS"
"Date Review Received"|"Date_Review_Received"
"Date Review Requested"|"Date_Review_Requested"
"Days Client is Unavailable for 1st Fitting"|"Days_Client_is_Unavailable"
"Days Outstanding"|"Days_Outstanding"
"Days Remaining Until Event"|"Days_Remaining_Until_Event"
"Days Required to Clear this CSI"|"Days_Required_to_Clear_this_CSI"
"Days to First Fitting"|"Days_to_First_Fitting"
"Days to Target Completion"|"Days_to_Target_Completion1"
"Deal Image"|"Record_Image"
"Deal Name"|"Deal_Name"
"Deal Owner"|"Owner"
"Deal Speed"|"Deal_Speed"
"Description"|"Description"
"Discount Description"|"Discount_Description"
"Discounts"|"Discounts"
"Discounts as % of Gross"|"Discounts_as_of_Gross"
"Drive URL"|"gdriveextension__Drive_URL"
"Email"|"Email"
"Errors"|"Errors"
"Errors as % of Total"|"Errors_as_of_Total"
"Event Date"|"Event_Date"
"Expected Pickup Date (CC)"|"Expected_Pickup_Date_CC"
"Expected Revenue"|"Expected_Revenue"
"Fit Confirmation"|"Fit_Confirmation"
"Fit Specialist"|"Fit_Specialist"
"Gift Card Details (Gift Cards/Credits Module)"|"Gift_Card_Details_Gift_Cards_Credits_Module"
"Gross Margin"|"Gross_Margin1"
"Gross Margin (%)"|"Gross_Margin"
"If Pref. Appointment Time is Other"|"If_Appointment_Time_is_Other"
"Industry"|"Industry"
"Initial Need by Date"|"Initial_Need_by_Date"
"Last Day to Remake"|"Last_Day_to_Remake"
"Lead Created"|"Lead_Created"
"Lead Created (DO NOT FILL)"|"Lead_Created_Do_Not_Fill"
"Lead Source"|"Lead_Source"
"Net Margin"|"Net_Margin"
"Net Margin (%)"|"Net_Margin1"
"Next Actions for Urgent/Exp./Standard-Priority"|"Next_Actions_for_Urgent_Exp_Standard_Priority"
"Next Actions if Priority Delivery Missed"|"Next_Actions_if_Priority_Delivery_Missed"
"Number of Visits"|"Number_of_Visits"
"Open Receipts and Confirmations"|"Open_Receipts_and_Confirmations"
"Open Reviews Section"|"Open_Reviews_Section"
"Open Tailoring Section"|"Open_Tailoring_Section"
"Order Experience Stage"|"Order_Experience_Stage"
"Phone"|"Phone"
"Postal Code"|"Postal_Code"
"Potential Deals Affected with CSI"|"Potential_Deals_Affected_with_CSI"
"Prediction"|"Prediction_Score"
"Preferred Appointment Day"|"Preferred_Appointment_Day"
"Preferred Appointment Time"|"Preferred_Appointment_Time"
"Preferred Method of Contact"|"Preferred_Method_of_Contact"
"Primary Contact"|"Primary_Contact"
"Priority Type"|"Priority_Type"
"Probability (%)"|"Probability"
"Provide Date(s) for Client 1st/Final Fitting"|"Provide_Date_s_for_Client_1st_Final_Fitting"
"Reason Review Not Requested"|"Reason_Review_Not_Requested"
"Reason Sale Not Closed"|"Reason_Sale_Not_Closed"
"Receipt"|"Receipt"
"Referred By"|"Referred_By"
"Referrer Shirt Stage"|"Referrer_Shirt_Stage"
"Review Attained"|"Review_Attained"
"Shirt Summary"|"Shirt_Summary"
"Show F.I."|"Show_F_I"
"Show OPS Metrics Calc."|"Show_OPS_Metrics_Calc"
"Stage"|"Stage"
"Stage in Our Process (OPS)"|"Stage_in_Our_Process_OPS"
"State"|"State"
"Street"|"Street"
"Style Confirmation"|"Style_Confirmation"
"Stylist"|"Stylist"
"Sufficient Time b/w 1st Fitting and Need by Date?"|"Sufficient_Time_b_w_1st_Fitting_and_Need_by_Date"
"Suit Summary"|"Suit_Summary"
"Target First Fitting Date (QCPass+3)"|"Target_First_Fitting_Date"
"Target Order Completion (1st+1Wk)"|"Target_Order_Completion"
"Timeline (Expectations)"|"Timeline_Expectations"
"Timeline Notes"|"Timeline_Notes"
"Today's Date"|"Today_s_Date"
"TR Code"|"TR_Code"
"Vendor (OPS)"|"Vendor_OPS"
"Actions 1st Fitting"|"Actions_1st_Fitting"
"Actions Add'l Fitting"|"Actions_Add_l_Fitting"
"Actions Post-Fitting"|"Actions_Post_Fitting"
"Actions Pre-Fitting"|"Actions_Pre_Fitting"
"Alteration Costs"|"Alteration_Costs"
"Armhole (Finished Only)"|"Armhole_Finished_Only"
"Base Lining"|"Base_Lining"
"Beltloops"|"Beltloops"
"Bicep"|"Bicep"
"Bottom"|"Bottom"
"Button Type"|"Button_Type"
"Checked iMeasure"|"Checked_iMeasure"
"Chest"|"Chest"
"Client Status"|"Client_Status"
"Coat Expected Delivery"|"Coat_Expected_Delivery"
"Coat Model"|"Coat_Model"
"Coat Order Confirmation"|"Coat_Order_Confirmation"
"Coat Q.C. Pass Date"|"Coat_QC_Pass_Date"
"Coat Size"|"Coat_Size"
"COGS"|"COGS"
"Comp Type"|"Comp_Type"
"Contrast Stitch (+$25)"|"Constrast_Stitch_Colour"
"Contrast Stitch Location"|"Constrast_Stitch_Location"
"Custom Lining Description"|"Custom_Lining_Description"
"CustomModule1 Name"|"Name"
"Date Garment Processed"|"Date_Garment_Processed"
"Days to Q.C. Pass (Shirt)"|"Days_to_QC_Pass_Shirt"
"Days to Q.C. Pass (Suiting)"|"Days_to_QC_Pass_Suiting"
"Deal"|"Deal"
"Discount"|"Discount"
"Discount Description"|"Discount_Description"
"Error Costs"|"Error_Costs"
"Expected Box Arrival Date"|"Expected_Box_Arrival_Date"
"Expected Suiting Delivery"|"Expected_Suiting_Delivery"
"Fabric Lookup"|"Fabric_Lookup"
"Forearm"|"Forearm"
"Front Length"|"Front_Length"
"Full Waist"|"Full_Waist"
"Garment Location"|"Garment_Location"
"Garment Owner"|"Owner"
"Garment Speed"|"Garment_Speed"
"Garment Status"|"Garment_Status"
"Garment Type"|"Garment_Type"
"Hips"|"Hips"
"In-Storage Description"|"In_Storage_Description"
"Jacket Length"|"Jacket_Length"
"Knee"|"Knee"
"L. Sleeve"|"L_Sleeve"
"Lapel"|"Lapel"
"Lining"|"Lining"
"List Price"|"List_Price"
"Make"|"Make"
"Measurement Profile"|"Measurement_Profile"
"Measurement Profile Imported"|"Measurement_Profile_Imported"
"Monogram (CAPS ONLY)"|"Monogram"
"Neck"|"Neck"
"Neck Tuck"|"Neck_Tuck"
"Number of Buttons/Breasted"|"Number_of_Buttons_Breasted"
"Ordered Rise"|"Ordered_Rise"
"Overridden Price"|"Overridden_Price"
"Override Price?"|"Override_Price"
"Pant Buttons"|"Pant_Buttons"
"Pen Pocket (+$15)"|"Pen_Pocket"
"Pic Stitch"|"Pic_Stitch"
"Pinched Neck"|"Pinched_Neck"
"Pockets"|"Pockets"
"Posture/Shoulder"|"Posture_Shoulder"
"Price Override Category"|"Price_Override_Category"
"R. Sleeve"|"R_Sleeve"
"Receipt"|"Receipt"
"S. Cohen Order Number"|"S_Cohen_Order_Number"
"Satin Trim"|"Satin_Trim"
"Seat"|"Seat"
"Shirt Box"|"Shirt_Box"
"Shirt Button Placket"|"Shirt_Button_Placket"
"Shirt Collar Style"|"Shirt_Collar_Style"
"Shirt Contrast Fabric"|"Shirt_Contrast_Fabric"
"Shirt Contrast Fabric Location"|"Shirt_Contrast_Fabric_Location"
"Shirt Cost (TB)"|"Shirt_Cost_TB"
"Shirt Cuff Style"|"Shirt_Cuff_Style"
"Shirt Fit"|"Shirt_Fit"
"Shirt Measurements Confirmed"|"Shirt_Measurements_Confirmed"
"Shirt Payment"|"Shirt_Payment"
"Shirt Q.C. Pass Date"|"Suit_QC_Pass_Date"
"Shirt Shoulder Posture"|"Shirt_Shoulder_Posture"
"Shoulder"|"Shoulder_Point_to_Point"
"Shoulders"|"Shoulders"
"Show F.I."|"Show_F_I"
"Show Pic Stitch"|"Show_Pic_Stitch"
"Sleeve Cuff"|"Sleeve_Cuff"
"Sleeve Length R."|"Sleeve_Length_R"
"Specific Shirt Notes"|"Specific_Special_Notes"
"Stomach"|"Stomach"
"Suiting Q.C. Pass Date"|"Suiting_QC_Pass_Date"
"Supplier Default Trim"|"Supplier_Default_Trim"
"Surgeon Cuffs (+$50)"|"Surgeon_Cuffs"
"Suspender Buttons"|"Suspender_Buttons"
"Thigh"|"Thigh"
"Ticket Pocket (+$25)"|"Ticket_Pocket"
"Total Price"|"Total_Price"
"Turn Off BP"|"Turn_Off_BP"
"Tuxedo Make (+$100)"|"Tuxedo_Make"
"Undercollar Colour"|"Undercollar_Colour"
"Unfinished Inseam"|"Unfinished_Inseam"
"Vest Back Length"|"Vest_Back_Length"
"Vest Buttons"|"Vest_Buttons"
"Vest Lining"|"Vest_Lining"
"Vest Make"|"Vest_Make"
"Vest Waist"|"Vest_Waist"
"Waist"|"Waist"
"Wrist L."|"Wrist_L"
"Wrist R."|"Wrist_R"
"Armhole (Finished Only)"|"Armhole_Finished_Only"
"Back Length"|"Back_Length"
"Back Length Rounding"|"Back_Length_Rounding"
"Bicep"|"Bicep"
"Bicep Ease"|"Bicep_Ease"
"Bottom"|"Bottom"
"Chest"|"Chest"
"Chest Ease"|"Chest_Ease"
"Coat Fit Notes"|"Coat_Fit_Notes"
"Con. Adj. Back Length"|"Con_Adj_Back_Length"
"Con. Adj. Bottom"|"Con_Adj_Bottom"
"Con. Adj. Full Waist"|"Con_Adj_Full_Waist"
"Con. Adj. Jacket Length"|"Con_Adj_Jacket_Length"
"Con. Adj. Knee"|"Con_Adj_Knee"
"Con. Adj. L. Sleeve"|"Con_Adj_L_Sleeve"
"Con. Adj. R. Sleeve"|"Con_Adj_R_Sleeve"
"Con. Adj. Seat"|"Con_Adj_Seat"
"Con. Adj. Shoulder (P to P)"|"Con_Adj_Shoulder"
"Con. Adj. Thigh"|"Con_Adj_Thigh"
"Con. Adj. Unfinished Inseam"|"Con_Adj_Unfinished_Inseam"
"Con. Adj. Vest Waist"|"Con_Adj_Vest_Waist"
"Con. Adj. Waist"|"Con_Adj_Waist"
"Confirmed Finished Outseam"|"Confirmed_Finished_Outseam_Adjustment"
"Contact"|"Contact"
"Created By"|"Created_By"
"Express Jacket Model & Fit"|"Express_Jacket_Model_Fit"
"Express Jacket Size"|"Express_Jacket_Size_1"
"Express Pant Model & Fit"|"Express_Pant_Model_Fit"
"Express Pant Size"|"Express_Pant_Size"
"Finished Bicep"|"Finished_Bicep"
"Finished Chest"|"Finished_Chest"
"Finished Forearm"|"Finished_Forearm"
"Finished Front Length"|"Finished_Front_Length"
"Finished Hips"|"Finished_Hips"
"Finished Neck"|"Finished_Neck"
"Finished Outseam"|"Finished_Outseam"
"Finished Shoulders"|"Finished_Shoulders"
"Finished Sleeve Length"|"Finished_Sleeve_Length"
"Finished Stomach Area"|"Finished_Stomach_Area"
"Finished Wrist (Left)"|"Finished_Wrist_Left"
"Finished Wrist (Right)"|"Finished_Wrist_Right"
"Fit. Adj. Back Length"|"Fit_Adj_Back_Length"
"Fit. Adj. Bicep"|"Fit_Adj_Bicep"
"Fit. Adj. Bottom"|"Fit_Adj_Bottom"
"Fit. Adj. Chest"|"Fit_Adj_Chest"
"Fit. Adj. Forearm"|"Fit_Adj_Forearm"
"Fit. Adj. Front Length"|"Fit_Adj_Front_Length"
